"title","fund1","fund2","fund3","fund4","fund5","date"
"포린의 카트폴리오 - 8","AB 글로벌고수익증권투자신탁 (채권-재간접형) S-P","KB 연금미국S&P500인덱스증권자투자신탁 (주식-파생형) S-P","미래에셋 글로벌다이나믹연금증권전환형자투자신탁1호 (채권) S-P","멀티에셋 차세대Fun인덱스증권자투자신탁 [주식] S-P","에셋플러스 글로벌리치투게더연금증권자투자신탁1호 (주식) S-P","2018.10.28"
"다율맘의 업다운폴리오 - 1","하나UBS IT코리아증권투자신탁(제1호)[주식] Class S","한국투자 베트남증권자투자신탁1호 (주식혼합) S","미래에셋G2이노베이터증권자투자신탁(주식)종류S",NA,NA,"2018.10.27"
"포린의 카트폴리오 - 7","KB 연금미국S&P500인덱스증권자투자신탁 (주식-파생형) S-P","에셋플러스 글로벌리치투게더연금증권자투자신탁1호 (주식) S-P","미래에셋 글로벌다이나믹연금증권전환형자투자신탁1호 (채권) S-P","멀티에셋 차세대Fun인덱스증권자투자신탁 [주식] S-P","메리츠 글로벌인프라증권자투자신탁[주식]종류S-P","2018.10.27"
"포린의 카트폴리오 - 6","KB 연금미국S&P500인덱스증권자투자신탁 (주식-파생형) S-P","에셋플러스 글로벌리치투게더연금증권자투자신탁1호 (주식) S-P","AB 글로벌고수익증권투자신탁 (채권-재간접형) S-P","미래에셋 글로벌다이나믹연금증권전환형자투자신탁1호 (채권) S-P","멀티에셋 차세대Fun인덱스증권자투자신탁 [주식] S-P","2018.10.27"
"이정엽의 삼성솔루션 - 1","삼성 인덱스플러스증권투자신탁 제1호[주식-파생형]S","삼성 글로벌선진국증권자투자신탁H [주식] S",NA,NA,NA,"2018.10.25"
"파르라니의 업다운폴리오 - 1","AB 글로벌로우볼증권투자신탁 (주식-재간접형) S-P","키움 글로벌모기지인컴부동산투자신탁제1호[재간접형]S-P","슈로더 선진국중소형주증권자투자신탁UH (주식-재간접형) S-P",NA,NA,"2018.10.22"
"돈들고우동의 업다운폴리오 - 1","교보악사 파워인덱스증권자투자신탁1호 (주식) S","IBK 베트남플러스아시아증권투자신탁 [주식] S","삼성 일본중소형FOCUS증권자투자신탁UH [주식] S",NA,NA,"2018.10.22"
"일산이장의 카트폴리오 - 2","삼성 ABFKorea인덱스증권투자신탁[채권](S)","KB 스타미국S&P500인덱스증권자투자신탁 [주식-파생형] S","흥국 멀티플레이증권자투자신탁4호 [채권] S","블랙록 미국달러하이일드증권투자신탁 (채권-재간접형)(H) S","한화 라살글로벌리츠부동산자투자신탁 (리츠-재간접형) S","2018.10.21"
"10월불리오","삼성 ABFKorea인덱스증권투자신탁[채권](S)","KB 스타미국S&P500인덱스증권자투자신탁 [주식-파생형] S","흥국 멀티플레이증권자투자신탁4호 [채권] S","블랙록 미국달러하이일드증권투자신탁 (채권-재간접형)(H) S","한화 라살글로벌리츠부동산자투자신탁 (리츠-재간접형) S","2018.10.21"
"점진적으로의 카트폴리오 - 1","삼성 미국인덱스증권자투자신탁UH [주식] S","멀티에셋 차세대Fun인덱스증권자투자신탁 [주식] Ce","키움 글로벌금리와물가연동증권자투자신탁(H)[채권-재간접형]S","하이 글로벌부동산투자신탁 [재간접형] S",NA,"2018.10.21"
